client_id,client_name,trip_count,total_liters,revenue_uah,fuel_cost_uah,fuel_intensity_l_per_1000uah,gross_margin_pct,effective_rate
CLT-11,ТОВ Нива Експорт,90,7199.91,760869.1034,427764.19,9.46,43.8,1.94
CLT-03,ТОВ Полтавські Лани,167,35214.95,4141124.4384,2056267.96,8.5,50.3,1.87
CLT-04,ФГ Кукурудза Південь,107,5480.08,661670.3544,314586.28,8.28,52.5,2.11
CLT-02,ПП ДніпроЗерно,192,31950.34,3889902.6152,1855357.06,8.21,52.3,1.98
CLT-09,ФГ Золоте Колосся,100,4121.78,516262.6,244008.27,7.98,52.7,2.07
CLT-07,ФГ Жнива-Поділля,93,1772.56,223024.7448,104913.66,7.95,53.0,2.11
CLT-08,ТОВ Пшеничний Шлях,108,5834.44,759014.2993,346582.0,7.69,54.3,2.17
CLT-06,АгроЛогістика Центр,184,17751.86,2537897.478,1036088.39,6.99,59.2,2.4
CLT-01,ТОВ Соняшник-Агро,227,20221.98,3064562.835,1176823.46,6.6,61.6,2.54
CLT-05,ТОВ Соєвий Дім,94,4064.78,728171.1796,236643.35,5.58,67.5,2.95
