client_id,client_name,is_seasonal,trip_count,revenue_uah,fuel_cost_uah,gross_profit_uah,gross_margin_pct,low_sample,delayed_pct
CLT-03,ТОВ Полтавські Лани,0,167,4141124.4384,2056267.96,2084856.4784,50.3,False,29.5
CLT-02,ПП ДніпроЗерно,0,192,3889902.6152,1855357.06,2034545.5551999998,52.3,False,27.7
CLT-01,ТОВ Соняшник-Агро,0,227,3064562.835,1176823.46,1887739.375,61.6,False,6.9
CLT-06,АгроЛогістика Центр,0,184,2537897.478,1036088.39,1501809.088,59.2,False,8.2
CLT-05,ТОВ Соєвий Дім,0,94,728171.1796,236643.35,491527.82960000006,67.5,False,6.1
CLT-08,ТОВ Пшеничний Шлях,1,108,759014.2993,346582.0,412432.29929999996,54.3,False,5.5
CLT-04,ФГ Кукурудза Південь,0,107,661670.3544,314586.28,347084.0743999999,52.5,False,24.3
CLT-11,ТОВ Нива Експорт,1,90,760869.1034,427764.19,333104.9134,43.8,False,21.1
CLT-09,ФГ Золоте Колосся,1,100,516262.6,244008.27,272254.32999999996,52.7,False,8.0
CLT-07,ФГ Жнива-Поділля,1,93,223024.7448,104913.66,118111.08479999998,53.0,False,4.3
