origin_city,destination_city,trip_count,revenue_uah,gross_profit_uah,avg_delay_hours,route_has_port,gross_margin_pct
Подільськ,Чорноморськ,90,760869.1034,333104.9134,5.622222222222222,1,43.8
Полтава,Чорноморськ,167,4141124.4384,2084856.4784,8.462874251497006,1,50.3
Дніпро,Одеса,192,3889902.6152,2034545.5552,8.491666666666667,1,52.3
Миколаїв,Одеса,107,661670.3544,347084.0744,7.63177570093458,1,52.5
Хмельницький,Тернопіль,100,516262.6,272254.33,1.411,0,52.7
Вінниця,Жмеринка,93,223024.7448,118111.0848,1.0956989247311828,0,53.0
Чернігів,Київ,108,759014.2993,412432.2993,1.2694444444444444,0,54.3
Вінниця,Київ,184,2537897.478,1501809.088,2.055978260869565,0,59.2
Кропивницький,Дніпро,227,3064562.835,1887739.375,1.7444933920704846,0,61.6
Черкаси,Кременчук,94,728171.1796,491527.8296,1.6989361702127659,0,67.5
