truck_id,truck_brand,truck_model,trip_count,revenue_uah,gross_profit_uah,gross_margin_pct
TRK-04,Volvo,FH 460,151,1962635.6713999999,1061814.6714,54.1
TRK-08,DAF,XF 480,141,1888667.9373,1059044.6673,56.1
TRK-06,MAN,TGX 18.440,144,1966374.027,1023259.327,52.0
TRK-11,MAN,TGX 18.480,142,1790077.2397,979385.4397,54.7
TRK-09,Volvo,FH 500,137,1699862.6816,913572.5216,53.7
TRK-05,Scania,R450,114,1319444.1741,769970.6141,58.4
TRK-10,Scania,G450,99,1326773.537,768344.567,57.9
TRK-12,Mercedes,Actros 1848,94,1322523.3636,755717.8036,57.1
TRK-07,Mercedes,Actros 1845,92,1225807.3924,707299.9024,57.7
TRK-03,DAF,CF 85,107,1170561.612,573570.682,49.0
TRK-02,DAF,XF 106,63,822282.4352,464789.95519999997,56.5
TRK-01,DAF,XF 105,78,787489.5768,406694.8768,51.6
