rate_id,client_id,distance_from_km,distance_to_km,weight_from_tons,weight_to_tons,rate_uah_per_ton_km,valid_from,valid_to
RAT-0001,CLT-01,0,150,18,21,2.930,2022-07-01,2022-09-30
RAT-0002,CLT-01,0,150,21,27,2.693,2022-07-01,2022-09-30
RAT-0003,CLT-01,150,300,18,23,2.739,2022-07-01,2022-09-30
RAT-0004,CLT-01,150,300,23,27,2.360,2022-07-01,2022-09-30
RAT-0005,CLT-01,300,500,18,24,2.366,2022-07-01,2022-09-30
RAT-0006,CLT-01,500,9999,18,25,2.304,2022-07-01,2022-09-30
RAT-0007,CLT-01,0,150,18,21,2.551,2022-10-01,2022-12-31
RAT-0008,CLT-01,0,150,21,27,2.234,2022-10-01,2022-12-31
RAT-0009,CLT-01,150,300,18,23,2.136,2022-10-01,2022-12-31
RAT-0010,CLT-01,150,300,23,27,2.112,2022-10-01,2022-12-31
RAT-0011,CLT-01,300,500,18,24,2.026,2022-10-01,2022-12-31
RAT-0012,CLT-01,500,9999,18,25,1.882,2022-10-01,2022-12-31
RAT-0013,CLT-01,0,150,18,21,2.784,2023-01-01,2023-06-30
RAT-0014,CLT-01,0,150,21,27,2.584,2023-01-01,2023-06-30
RAT-0015,CLT-01,150,300,18,23,2.415,2023-01-01,2023-06-30
RAT-0016,CLT-01,150,300,23,27,2.336,2023-01-01,2023-06-30
RAT-0017,CLT-01,300,500,18,24,2.347,2023-01-01,2023-06-30
RAT-0018,CLT-01,500,9999,18,25,2.171,2023-01-01,2023-06-30
RAT-0019,CLT-01,0,150,18,21,3.172,2023-07-01,2023-09-30
RAT-0020,CLT-01,0,150,21,27,3.220,2023-07-01,2023-09-30
RAT-0021,CLT-01,150,300,18,23,3.038,2023-07-01,2023-09-30
RAT-0022,CLT-01,150,300,23,27,2.855,2023-07-01,2023-09-30
RAT-0023,CLT-01,300,500,18,24,2.646,2023-07-01,2023-09-30
RAT-0024,CLT-01,500,9999,18,25,2.498,2023-07-01,2023-09-30
RAT-0025,CLT-01,0,150,18,21,2.735,2023-10-01,2023-12-31
RAT-0026,CLT-01,0,150,21,27,2.529,2023-10-01,2023-12-31
RAT-0027,CLT-01,150,300,18,23,2.600,2023-10-01,2023-12-31
RAT-0028,CLT-01,150,300,23,27,2.438,2023-10-01,2023-12-31
RAT-0029,CLT-01,300,500,18,24,2.416,2023-10-01,2023-12-31
RAT-0030,CLT-01,500,9999,18,25,2.247,2023-10-01,2023-12-31
RAT-0031,CLT-01,0,150,18,21,2.933,2024-01-01,2024-06-30
RAT-0032,CLT-01,0,150,21,27,2.646,2024-01-01,2024-06-30
RAT-0033,CLT-01,150,300,18,23,2.665,2024-01-01,2024-06-30
RAT-0034,CLT-01,150,300,23,27,2.553,2024-01-01,2024-06-30
RAT-0035,CLT-01,300,500,18,24,2.389,2024-01-01,2024-06-30
RAT-0036,CLT-01,500,9999,18,25,2.197,2024-01-01,2024-06-30
RAT-0037,CLT-01,0,150,18,21,3.234,2024-07-01,2024-09-30
RAT-0038,CLT-01,0,150,21,27,2.974,2024-07-01,2024-09-30
RAT-0039,CLT-01,150,300,18,23,3.075,2024-07-01,2024-09-30
RAT-0040,CLT-01,150,300,23,27,2.876,2024-07-01,2024-09-30
RAT-0041,CLT-01,300,500,18,24,2.780,2024-07-01,2024-09-30
RAT-0042,CLT-01,500,9999,18,25,2.557,2024-07-01,2024-09-30
RAT-0043,CLT-01,0,150,18,21,2.952,2024-10-01,2024-10-31
RAT-0044,CLT-01,0,150,21,27,2.669,2024-10-01,2024-10-31
RAT-0045,CLT-01,150,300,18,23,2.618,2024-10-01,2024-10-31
RAT-0046,CLT-01,150,300,23,27,2.611,2024-10-01,2024-10-31
RAT-0047,CLT-01,300,500,18,24,2.482,2024-10-01,2024-10-31
RAT-0048,CLT-01,500,9999,18,25,2.225,2024-10-01,2024-10-31
RAT-0049,CLT-02,0,150,18,21,2.483,2022-07-01,2022-09-30
RAT-0050,CLT-02,0,150,21,27,2.412,2022-07-01,2022-09-30
RAT-0051,CLT-02,150,300,18,23,2.193,2022-07-01,2022-09-30
RAT-0052,CLT-02,150,300,23,27,2.197,2022-07-01,2022-09-30
RAT-0053,CLT-02,300,500,18,24,2.142,2022-07-01,2022-09-30
RAT-0054,CLT-02,500,9999,18,25,2.065,2022-07-01,2022-09-30
RAT-0055,CLT-02,0,150,18,21,2.167,2022-10-01,2022-12-31
RAT-0056,CLT-02,0,150,21,27,1.954,2022-10-01,2022-12-31
RAT-0057,CLT-02,150,300,18,23,1.971,2022-10-01,2022-12-31
RAT-0058,CLT-02,150,300,23,27,1.901,2022-10-01,2022-12-31
RAT-0059,CLT-02,300,500,18,24,1.701,2022-10-01,2022-12-31
RAT-0060,CLT-02,500,9999,18,25,1.675,2022-10-01,2022-12-31
