batch_id,purchase_date,supplier,liters_purchased,price_per_liter_uah,total_cost_uah
FB-001,2022-07-01,ОККО Пальне,30435,54.20,1649577.00
FB-002,2022-08-18,ОККО Пальне,28165,52.70,1484295.50
FB-003,2022-10-07,ОККО Пальне,27375,48.60,1330425.00
FB-004,2022-12-05,ОККО Пальне,32347,46.40,1500900.80
FB-005,2023-02-03,ОККО Пальне,26644,47.10,1254932.40
FB-006,2023-04-06,ОККО Пальне,29609,48.20,1427153.80
FB-007,2023-06-08,ОККО Пальне,34537,49.60,1713035.20
FB-008,2023-07-21,ОККО Пальне,25529,50.40,1286661.60
FB-009,2023-09-08,ОККО Пальне,33313,51.90,1728944.70
FB-010,2023-11-10,ОККО Пальне,33242,52.80,1755177.60
FB-011,2024-01-09,ОККО Пальне,30999,53.90,1670846.10
FB-012,2024-03-12,ОККО Пальне,29697,55.70,1654122.90
FB-013,2024-05-10,ОККО Пальне,32508,58.40,1898467.20
FB-014,2024-06-21,ОККО Пальне,25873,60.80,1573078.40
FB-015,2024-08-12,ОККО Пальне,32259,59.30,1912958.70
FB-016,2024-09-24,ОККО Пальне,34742,57.20,1987242.40
