trip_id,date_departure,date_arrival,truck_id,driver_id,client_id,route_id,origin_city,destination_city,distance_km,route_type,cargo_type,cargo_tons_actual,load_factor_pct,delay_hours,status
TRP-00001,2022-07-01,2022-07-02,TRK-04,DRV-04,CLT-02,RTE-02,Дніпро,Одеса,472,highway,corn,20.76,86.5,1.8,completed
TRP-00002,2022-07-01,2022-07-01,TRK-04,DRV-04,CLT-09,RTE-09,Хмельницький,Тернопіль,112,local,wheat,16.44,68.5,1.5,completed
TRP-00003,2022-07-01,2022-07-01,TRK-05,DRV-05,CLT-09,RTE-09,Хмельницький,Тернопіль,112,local,wheat,16.74,68.3,1.1,completed
TRP-00004,2022-07-01,2022-07-01,TRK-05,DRV-11,CLT-08,RTE-08,Чернігів,Київ,149,local,wheat,24.47,99.9,2.1,delayed
TRP-00005,2022-07-01,2022-07-02,TRK-07,DRV-07,CLT-06,RTE-06,Вінниця,Київ,267,highway,sunflower,21.46,89.4,1.7,completed
TRP-00006,2022-07-01,2022-07-01,TRK-07,DRV-07,CLT-09,RTE-09,Хмельницький,Тернопіль,112,local,wheat,19.98,83.2,6.9,delayed
TRP-00007,2022-07-01,2022-07-01,TRK-09,DRV-09,CLT-08,RTE-08,Чернігів,Київ,149,local,wheat,18.57,74.3,1.2,completed
TRP-00008,2022-07-02,2022-07-02,TRK-01,DRV-01,CLT-08,RTE-08,Чернігів,Київ,149,local,wheat,21.24,96.6,1.4,completed
TRP-00009,2022-07-02,2022-07-03,TRK-01,DRV-11,CLT-06,RTE-06,Вінниця,Київ,267,highway,corn,19.77,89.9,1.6,completed
TRP-00010,2022-07-02,2022-07-02,TRK-01,DRV-01,CLT-05,RTE-05,Черкаси,Кременчук,118,local,soy,21.72,98.7,1.6,completed
TRP-00011,2022-07-02,2022-07-02,TRK-03,DRV-03,CLT-07,RTE-07,Вінниця,Жмеринка,52,local,wheat,18.86,87.7,0.8,completed
TRP-00012,2022-07-02,2022-07-02,TRK-04,DRV-04,CLT-05,RTE-05,Черкаси,Кременчук,118,local,soy,21.51,89.6,1.7,completed
TRP-00013,2022-07-02,2022-07-02,TRK-07,DRV-07,CLT-08,RTE-08,Чернігів,Київ,149,local,wheat,16.36,68.2,0.7,completed
TRP-00014,2022-07-02,2022-07-03,TRK-09,DRV-09,CLT-02,RTE-02,Дніпро,Одеса,472,highway,wheat,23.80,95.2,1.6,completed
TRP-00015,2022-07-02,2022-07-03,TRK-09,DRV-09,CLT-06,RTE-06,Вінниця,Київ,267,highway,soy,21.06,84.2,0.9,completed
TRP-00016,2022-07-02,2022-07-03,TRK-09,DRV-09,CLT-01,RTE-01,Кропивницький,Дніпро,246,highway,sunflower,24.97,99.9,1.5,completed
TRP-00017,2022-07-02,2022-07-02,TRK-09,DRV-09,CLT-09,RTE-09,Хмельницький,Тернопіль,112,local,wheat,23.00,92.0,0.6,completed
TRP-00018,2022-07-02,2022-07-04,TRK-10,DRV-10,CLT-03,RTE-03,Полтава,Чорноморськ,612,highway,sunflower,16.90,70.4,1.3,completed
TRP-00019,2022-07-03,2022-07-04,TRK-01,DRV-01,CLT-06,RTE-06,Вінниця,Київ,267,highway,sunflower,20.87,94.9,0.2,completed
TRP-00020,2022-07-03,2022-07-04,TRK-02,DRV-02,CLT-11,RTE-10,Подільськ,Чорноморськ,214,highway,wheat,18.82,81.8,0.3,completed
TRP-00021,2022-07-03,2022-07-04,TRK-02,DRV-02,CLT-01,RTE-01,Кропивницький,Дніпро,246,highway,sunflower,21.33,92.7,0.4,completed
TRP-00022,2022-07-03,2022-07-05,TRK-03,DRV-03,CLT-03,RTE-03,Полтава,Чорноморськ,612,highway,wheat,20.42,95.0,0.1,completed
TRP-00023,2022-07-03,2022-07-04,TRK-03,DRV-03,CLT-01,RTE-01,Кропивницький,Дніпро,246,highway,sunflower,20.03,93.1,2.1,delayed
TRP-00024,2022-07-03,2022-07-03,TRK-04,DRV-04,CLT-09,RTE-09,Хмельницький,Тернопіль,112,local,wheat,18.34,76.4,1.1,completed
TRP-00025,2022-07-03,2022-07-03,TRK-05,DRV-05,CLT-09,RTE-09,Хмельницький,Тернопіль,112,local,wheat,25.30,103.2,1.0,completed
TRP-00026,2022-07-03,2022-07-03,TRK-05,DRV-05,CLT-09,RTE-09,Хмельницький,Тернопіль,112,local,wheat,21.85,89.2,1.8,completed
TRP-00027,2022-07-03,2022-07-03,TRK-07,DRV-07,CLT-08,RTE-08,Чернігів,Київ,149,local,wheat,19.81,82.5,0.3,completed
TRP-00028,2022-07-03,2022-07-03,TRK-08,DRV-08,CLT-09,RTE-09,Хмельницький,Тернопіль,112,local,wheat,21.54,86.2,1.6,completed
TRP-00029,2022-07-03,2022-07-04,TRK-10,DRV-10,CLT-11,RTE-10,Подільськ,Чорноморськ,214,highway,wheat,23.57,98.2,0.6,completed
TRP-00030,2022-07-04,2022-07-05,TRK-04,DRV-04,CLT-11,RTE-10,Подільськ,Чорноморськ,214,highway,wheat,22.00,91.7,1.1,completed
TRP-00031,2022-07-04,2022-07-04,TRK-04,DRV-04,CLT-07,RTE-07,Вінниця,Жмеринка,52,local,wheat,18.08,75.3,1.6,completed
TRP-00032,2022-07-04,2022-07-05,TRK-05,DRV-05,CLT-11,RTE-10,Подільськ,Чорноморськ,214,highway,wheat,22.50,91.8,0.8,completed
TRP-00033,2022-07-04,2022-07-04,TRK-05,DRV-05,CLT-05,RTE-05,Черкаси,Кременчук,118,local,soy,22.27,90.9,0.4,completed
TRP-00034,2022-07-04,2022-07-06,TRK-06,DRV-06,CLT-03,RTE-03,Полтава,Чорноморськ,612,highway,corn,23.15,98.5,1.7,completed
TRP-00035,2022-07-04,2022-07-05,TRK-08,DRV-08,CLT-11,RTE-10,Подільськ,Чорноморськ,214,highway,wheat,23.98,95.9,1.1,completed
TRP-00036,2022-07-05,2022-07-06,TRK-04,DRV-04,CLT-06,RTE-06,Вінниця,Київ,267,highway,soy,18.33,76.4,0.9,completed
TRP-00037,2022-07-05,2022-07-06,TRK-04,DRV-04,CLT-02,RTE-02,Дніпро,Одеса,472,highway,corn,23.02,95.9,14.0,delayed
TRP-00038,2022-07-05,2022-07-05,TRK-05,DRV-05,CLT-05,RTE-05,Черкаси,Кременчук,118,local,soy,25.46,103.9,0.1,completed
TRP-00039,2022-07-05,2022-07-05,TRK-06,DRV-06,CLT-07,RTE-07,Вінниця,Жмеринка,52,local,wheat,22.66,96.4,0.1,completed
TRP-00040,2022-07-05,2022-07-05,TRK-06,DRV-06,CLT-07,RTE-07,Вінниця,Жмеринка,52,local,wheat,16.93,72.0,0.8,completed
TRP-00041,2022-07-05,2022-07-05,TRK-07,DRV-07,CLT-08,RTE-08,Чернігів,Київ,149,local,wheat,23.33,97.2,1.6,completed
TRP-00042,2022-07-05,2022-07-06,TRK-07,DRV-07,CLT-02,RTE-02,Дніпро,Одеса,472,highway,corn,22.67,94.5,0.6,completed
TRP-00043,2022-07-05,2022-07-05,TRK-08,DRV-08,CLT-07,RTE-07,Вінниця,Жмеринка,52,local,wheat,17.25,69.0,0.9,completed
TRP-00044,2022-07-05,2022-07-05,TRK-08,DRV-08,CLT-05,RTE-05,Черкаси,Кременчук,118,local,soy,22.73,90.9,1.5,completed
TRP-00045,2022-07-06,2022-07-06,TRK-03,DRV-03,CLT-05,RTE-05,Черкаси,Кременчук,118,local,soy,16.63,77.3,1.5,completed
TRP-00046,2022-07-06,2022-07-07,TRK-04,DRV-04,CLT-01,RTE-01,Кропивницький,Дніпро,246,highway,sunflower,23.02,95.9,0.4,completed
TRP-00047,2022-07-06,2022-07-07,TRK-04,DRV-04,CLT-06,RTE-06,Вінниця,Київ,267,highway,sunflower,16.55,68.9,0.4,completed
TRP-00048,2022-07-06,2022-07-07,TRK-06,DRV-06,CLT-06,RTE-06,Вінниця,Київ,267,highway,sunflower,19.51,83.0,1.4,completed
TRP-00049,2022-07-06,2022-07-08,TRK-06,DRV-06,CLT-03,RTE-03,Полтава,Чорноморськ,612,highway,sunflower,21.66,92.2,1.4,completed
TRP-00050,2022-07-06,2022-07-07,TRK-08,DRV-08,CLT-02,RTE-02,Дніпро,Одеса,472,highway,corn,22.99,92.0,1.7,completed
TRP-00051,2022-07-06,2022-07-06,TRK-09,DRV-09,CLT-07,RTE-07,Вінниця,Жмеринка,52,local,wheat,22.51,90.0,0.0,completed
TRP-00052,2022-07-06,2022-07-07,TRK-09,DRV-09,CLT-01,RTE-01,Кропивницький,Дніпро,246,highway,sunflower,20.16,80.6,7.1,delayed
TRP-00053,2022-07-06,2022-07-07,TRK-09,DRV-09,CLT-01,RTE-01,Кропивницький,Дніпро,246,highway,sunflower,23.27,93.1,0.5,completed
TRP-00054,2022-07-06,2022-07-07,TRK-10,DRV-10,CLT-02,RTE-02,Дніпро,Одеса,472,highway,sunflower,17.74,73.9,1.6,completed
TRP-00055,2022-07-07,2022-07-07,TRK-03,DRV-03,CLT-09,RTE-09,Хмельницький,Тернопіль,112,local,wheat,21.78,101.3,0.7,completed
TRP-00056,2022-07-07,2022-07-08,TRK-08,DRV-08,CLT-02,RTE-02,Дніпро,Одеса,472,highway,sunflower,21.82,87.3,1.4,completed
TRP-00057,2022-07-08,2022-07-08,TRK-01,DRV-01,CLT-07,RTE-07,Вінниця,Жмеринка,52,local,wheat,25.33,115.1,1.3,completed
TRP-00058,2022-07-08,2022-07-08,TRK-01,DRV-01,CLT-08,RTE-08,Чернігів,Київ,149,local,wheat,18.94,86.1,1.3,completed
TRP-00059,2022-07-08,2022-07-08,TRK-02,DRV-02,CLT-08,RTE-08,Чернігів,Київ,149,local,wheat,15.91,69.2,1.1,completed
TRP-00060,2022-07-08,2022-07-08,TRK-03,DRV-03,CLT-07,RTE-07,Вінниця,Жмеринка,52,local,wheat,15.29,71.1,1.7,completed
TRP-00061,2022-07-08,2022-07-09,TRK-04,DRV-04,CLT-06,RTE-06,Вінниця,Київ,267,highway,sunflower,22.75,94.8,0.4,completed
TRP-00062,2022-07-08,2022-07-08,TRK-08,DRV-08,CLT-09,RTE-09,Хмельницький,Тернопіль,112,local,wheat,24.65,98.6,0.3,completed
TRP-00063,2022-07-08,2022-07-09,TRK-08,DRV-08,CLT-11,RTE-10,Подільськ,Чорноморськ,214,highway,wheat,22.33,89.3,1.4,completed
TRP-00064,2022-07-08,2022-07-08,TRK-09,DRV-09,CLT-07,RTE-07,Вінниця,Жмеринка,52,local,wheat,22.66,90.6,0.2,completed
TRP-00065,2022-07-09,2022-07-09,TRK-01,DRV-01,CLT-07,RTE-07,Вінниця,Жмеринка,52,local,wheat,24.15,109.8,5.4,delayed
