trip_id,odometer_after_trip,recorded_at
TRP-00001,305372,2022-07-02 09:57
TRP-00002,305484,2022-07-01 08:13
TRP-00003,287312,2022-07-01 16:40
TRP-00004,287461,2022-07-01 19:22
TRP-00005,249567,2022-07-02 09:00
TRP-00006,249679,2022-07-01 08:54
TRP-00007,204749,2022-07-01 16:47
TRP-00008,392549,2022-07-02 13:51
TRP-00009,392816,2022-07-03 07:54
TRP-00010,392934,2022-07-02 06:54
TRP-00011,338652,2022-07-02 08:07
TRP-00012,305602,2022-07-02 19:46
TRP-00013,249828,2022-07-02 18:38
TRP-00014,205221,2022-07-03 14:21
TRP-00015,205488,2022-07-03 10:48
TRP-00016,205734,2022-07-03 14:11
TRP-00017,205846,2022-07-02 15:45
TRP-00018,176912,2022-07-04 08:45
TRP-00019,393201,2022-07-04 09:28
TRP-00020,366014,2022-07-04 12:24
TRP-00021,366260,2022-07-04 13:18
TRP-00022,339264,2022-07-05 14:11
TRP-00023,339510,2022-07-04 06:43
TRP-00024,305714,2022-07-03 19:27
TRP-00025,287573,2022-07-03 16:58
TRP-00026,287685,2022-07-03 19:23
TRP-00027,249977,2022-07-03 17:53
TRP-00028,221812,2022-07-03 11:47
TRP-00029,177126,2022-07-04 06:31
TRP-00030,305928,2022-07-05 12:04
TRP-00031,305980,2022-07-04 18:30
TRP-00032,287899,2022-07-05 18:03
TRP-00033,288017,2022-07-04 15:51
TRP-00034,262112,2022-07-06 15:51
TRP-00035,222026,2022-07-05 18:04
TRP-00036,306247,2022-07-06 11:10
TRP-00037,306719,2022-07-06 18:34
TRP-00038,288135,2022-07-05 08:32
TRP-00039,262164,2022-07-05 07:31
TRP-00040,262216,2022-07-05 16:21
TRP-00041,250126,2022-07-05 15:38
TRP-00042,250598,2022-07-06 18:14
TRP-00043,222078,2022-07-05 09:07
TRP-00044,222196,2022-07-05 10:10
TRP-00045,339628,2022-07-06 06:12
TRP-00046,306965,2022-07-07 11:09
TRP-00047,307232,2022-07-07 09:07
TRP-00048,262483,2022-07-07 13:01
TRP-00049,263095,2022-07-08 11:09
TRP-00050,222668,2022-07-07 12:24
TRP-00051,205898,2022-07-06 07:30
TRP-00052,206144,2022-07-07 17:32
TRP-00053,206390,2022-07-07 13:28
TRP-00054,177598,2022-07-07 08:17
TRP-00055,339740,2022-07-07 09:56
TRP-00056,223140,2022-07-08 13:48
TRP-00057,393253,2022-07-08 06:38
TRP-00058,393402,2022-07-08 09:56
TRP-00059,366409,2022-07-08 13:08
TRP-00060,339792,2022-07-08 06:02
TRP-00061,307499,2022-07-09 14:48
TRP-00062,223252,2022-07-08 12:20
TRP-00063,223466,2022-07-09 11:47
TRP-00064,206442,2022-07-08 18:55
TRP-00065,393454,2022-07-09 09:59
TRP-00066,366521,2022-07-09 08:49
TRP-00067,307551,2022-07-09 18:08
TRP-00068,307700,2022-07-09 06:00
TRP-00069,263707,2022-07-11 10:06
TRP-00070,223938,2022-07-10 14:30
TRP-00071,224056,2022-07-09 12:36
TRP-00072,224528,2022-07-10 16:26
TRP-00073,207054,2022-07-11 08:38
TRP-00074,207666,2022-07-11 18:47
TRP-00075,207933,2022-07-10 18:13
TRP-00076,178070,2022-07-10 15:06
TRP-00077,393566,2022-07-10 13:06
TRP-00078,307752,2022-07-10 19:05
TRP-00079,308364,2022-07-12 10:08
TRP-00080,250710,2022-07-10 08:48
TRP-00081,251322,2022-07-12 08:03
TRP-00082,224640,2022-07-10 11:26
TRP-00083,208545,2022-07-12 15:01
TRP-00084,393715,2022-07-11 10:34
TRP-00085,340404,2022-07-13 08:37
TRP-00086,308610,2022-07-12 15:30
TRP-00087,288253,2022-07-11 06:33
TRP-00088,288305,2022-07-11 13:12
TRP-00089,264179,2022-07-12 16:21
TRP-00090,251374,2022-07-11 10:22
TRP-00091,251846,2022-07-12 13:58
TRP-00092,252318,2022-07-12 12:40
TRP-00093,178542,2022-07-12 17:00
TRP-00094,393767,2022-07-12 19:49
TRP-00095,340618,2022-07-13 11:49
TRP-00096,309082,2022-07-13 08:42
TRP-00097,288417,2022-07-12 14:25
TRP-00098,252532,2022-07-13 19:18
TRP-00099,253004,2022-07-13 08:17
TRP-00100,340736,2022-07-13 16:24
TRP-00101,341208,2022-07-14 17:34
TRP-00102,253153,2022-07-13 08:13
TRP-00103,225112,2022-07-14 14:29
TRP-00104,208657,2022-07-13 19:17
TRP-00105,341260,2022-07-14 13:03
TRP-00106,288529,2022-07-14 11:45
TRP-00107,289141,2022-07-16 19:39
TRP-00108,264328,2022-07-14 09:52
TRP-00109,225584,2022-07-15 18:47
TRP-00110,226196,2022-07-16 15:43
TRP-00111,208709,2022-07-14 10:27
TRP-00112,366767,2022-07-16 06:02
TRP-00113,309231,2022-07-15 10:28
TRP-00114,309349,2022-07-15 17:56
TRP-00115,309498,2022-07-15 06:34
TRP-00116,289253,2022-07-15 10:05
TRP-00117,264574,2022-07-16 07:18
TRP-00118,264788,2022-07-17 08:49
TRP-00119,253271,2022-07-15 18:42
TRP-00120,208821,2022-07-15 10:43
TRP-00121,208970,2022-07-15 08:31
TRP-00122,179014,2022-07-16 07:40
TRP-00123,179626,2022-07-17 08:01
TRP-00124,366885,2022-07-16 10:05
TRP-00125,341372,2022-07-16 18:02
TRP-00126,310110,2022-07-18 10:52
TRP-00127,289402,2022-07-16 17:34
TRP-00128,253323,2022-07-16 10:24
TRP-00129,226442,2022-07-17 12:27
TRP-00130,209022,2022-07-16 16:22
TRP-00131,394239,2022-07-18 06:17
TRP-00132,341424,2022-07-17 10:17
TRP-00133,289874,2022-07-18 13:21
TRP-00134,290120,2022-07-18 14:48
TRP-00135,264937,2022-07-17 08:02
TRP-00136,226591,2022-07-17 07:39
TRP-00137,394357,2022-07-18 07:33
TRP-00138,310259,2022-07-18 17:30
TRP-00139,253435,2022-07-18 07:01
TRP-00140,226703,2022-07-18 16:43
TRP-00141,179840,2022-07-19 13:46
TRP-00142,179892,2022-07-18 12:08
TRP-00143,394571,2022-07-20 10:51
TRP-00144,367497,2022-07-21 18:34
TRP-00145,290172,2022-07-19 18:27
TRP-00146,290224,2022-07-19 10:11
