refuel_id,truck_id,refuel_date,odometer_at_refuel,liters_refueled
RFL-00001,TRK-04,2022-07-05,306414,657.61
RFL-00002,TRK-09,2022-07-07,206386,639.24
RFL-00003,TRK-06,2022-07-09,263442,756.12
RFL-00004,TRK-08,2022-07-09,223371,622.06
RFL-00005,TRK-07,2022-07-10,250787,664.47
RFL-00006,TRK-03,2022-07-11,340298,587.76
RFL-00007,TRK-04,2022-07-11,307961,557.47
RFL-00008,TRK-10,2022-07-11,178427,673.29
RFL-00009,TRK-09,2022-07-12,208253,774.88
RFL-00010,TRK-07,2022-07-13,252780,598.52
RFL-00011,TRK-05,2022-07-14,289044,626.29
RFL-00012,TRK-08,2022-07-15,225382,728.53
RFL-00013,TRK-01,2022-07-18,393994,609.45
RFL-00014,TRK-04,2022-07-18,310187,621.16
RFL-00015,TRK-10,2022-07-19,180209,721.57
RFL-00016,TRK-02,2022-07-20,367147,573.37
RFL-00017,TRK-05,2022-07-22,290916,575.92
RFL-00018,TRK-06,2022-07-22,265428,664.50
RFL-00019,TRK-07,2022-07-23,254578,620.89
RFL-00020,TRK-08,2022-07-24,227160,578.39
RFL-00021,TRK-03,2022-07-25,342041,588.66
RFL-00022,TRK-09,2022-07-25,210334,680.05
RFL-00023,TRK-08,2022-07-26,228706,729.50
RFL-00024,TRK-04,2022-07-28,311939,651.55
RFL-00025,TRK-01,2022-07-29,395411,520.34
RFL-00026,TRK-07,2022-07-29,256436,707.54
RFL-00027,TRK-06,2022-07-30,266944,639.29
RFL-00028,TRK-02,2022-08-02,369308,668.22
RFL-00029,TRK-08,2022-08-03,231160,681.06
RFL-00030,TRK-09,2022-08-03,212152,677.19
RFL-00031,TRK-05,2022-08-04,292664,685.94
RFL-00032,TRK-07,2022-08-04,258186,598.84
RFL-00033,TRK-10,2022-08-04,182167,649.47
RFL-00034,TRK-09,2022-08-05,213946,699.44
RFL-00035,TRK-03,2022-08-06,343867,602.77
RFL-00036,TRK-02,2022-08-08,371158,599.36
RFL-00037,TRK-06,2022-08-08,268985,586.94
RFL-00038,TRK-08,2022-08-09,232628,635.20
RFL-00039,TRK-01,2022-08-11,397152,534.19
RFL-00040,TRK-03,2022-08-13,345321,515.81
RFL-00041,TRK-05,2022-08-13,294861,601.96
RFL-00042,TRK-04,2022-08-14,313679,751.44
RFL-00043,TRK-06,2022-08-15,270987,697.57
RFL-00044,TRK-07,2022-08-16,260532,620.97
RFL-00045,TRK-08,2022-08-16,234806,777.36
RFL-00046,TRK-09,2022-08-17,215895,702.51
RFL-00047,TRK-03,2022-08-18,347265,533.05
RFL-00048,TRK-06,2022-08-18,272733,654.16
RFL-00049,TRK-05,2022-08-19,296617,655.35
RFL-00050,TRK-07,2022-08-20,262353,611.22
RFL-00051,TRK-08,2022-08-20,236685,681.11
RFL-00052,TRK-03,2022-08-21,348653,474.83
RFL-00053,TRK-06,2022-08-23,274707,593.76
RFL-00054,TRK-01,2022-08-24,398669,532.48
RFL-00055,TRK-09,2022-08-24,217365,666.03
RFL-00056,TRK-02,2022-08-25,372966,628.97
RFL-00057,TRK-04,2022-08-25,315887,570.30
RFL-00058,TRK-10,2022-08-25,184019,614.49
RFL-00059,TRK-06,2022-08-29,276308,593.95
RFL-00060,TRK-05,2022-08-30,298755,588.16
RFL-00061,TRK-08,2022-08-30,238482,657.99
RFL-00062,TRK-04,2022-08-31,317058,552.24
RFL-00063,TRK-09,2022-08-31,219370,625.48
RFL-00064,TRK-03,2022-09-02,350322,575.99
RFL-00065,TRK-02,2022-09-04,374802,643.19
RFL-00066,TRK-09,2022-09-04,221179,745.74
RFL-00067,TRK-04,2022-09-06,318905,675.07
RFL-00068,TRK-05,2022-09-06,300635,801.20
RFL-00069,TRK-01,2022-09-07,400169,510.59
RFL-00070,TRK-07,2022-09-07,263946,583.27
RFL-00071,TRK-11,2022-09-07,166467,687.29
RFL-00072,TRK-03,2022-09-13,351667,523.31
RFL-00073,TRK-08,2022-09-13,240355,675.05
RFL-00074,TRK-09,2022-09-13,223324,723.56
RFL-00075,TRK-11,2022-09-13,168553,620.61
RFL-00076,TRK-06,2022-09-15,278274,766.10
RFL-00077,TRK-08,2022-09-15,242353,662.42
RFL-00078,TRK-04,2022-09-17,320699,663.99
RFL-00079,TRK-05,2022-09-19,302958,603.74
RFL-00080,TRK-04,2022-09-21,322878,635.79
RFL-00081,TRK-09,2022-09-21,225431,691.00
RFL-00082,TRK-02,2022-09-23,376466,523.34
RFL-00083,TRK-08,2022-09-23,244163,711.56
RFL-00084,TRK-10,2022-09-24,185712,635.62
RFL-00085,TRK-11,2022-09-24,170249,597.41
RFL-00086,TRK-03,2022-09-25,353258,533.02
RFL-00087,TRK-05,2022-09-25,304329,573.97
RFL-00088,TRK-06,2022-09-25,279894,734.27
RFL-00089,TRK-07,2022-09-25,266007,641.06
RFL-00090,TRK-04,2022-09-26,324625,686.05
RFL-00091,TRK-02,2022-09-29,378548,701.33
RFL-00092,TRK-05,2022-09-29,306648,572.74
RFL-00093,TRK-08,2022-09-29,246196,743.78
RFL-00094,TRK-01,2022-10-02,401888,594.15
RFL-00095,TRK-09,2022-10-03,227358,699.12
RFL-00096,TRK-08,2022-10-04,248162,586.13
RFL-00097,TRK-10,2022-10-05,187718,563.36
RFL-00098,TRK-06,2022-10-06,282408,709.35
RFL-00099,TRK-08,2022-10-07,250117,656.91
RFL-00100,TRK-09,2022-10-07,228971,605.20
RFL-00101,TRK-03,2022-10-08,354825,530.86
RFL-00102,TRK-02,2022-10-09,379957,537.85
RFL-00103,TRK-11,2022-10-10,172171,673.43
RFL-00104,TRK-07,2022-10-11,267896,613.10
RFL-00105,TRK-01,2022-10-12,403835,604.19
RFL-00106,TRK-05,2022-10-12,308415,589.04
RFL-00107,TRK-10,2022-10-12,189864,679.37
RFL-00108,TRK-09,2022-10-13,230838,783.36
RFL-00109,TRK-04,2022-10-14,326469,614.44
RFL-00110,TRK-08,2022-10-14,251895,686.50
RFL-00111,TRK-11,2022-10-15,173597,605.72
RFL-00112,TRK-06,2022-10-17,284211,598.57
RFL-00113,TRK-09,2022-10-17,232509,682.70
RFL-00114,TRK-10,2022-10-18,191795,577.42
RFL-00115,TRK-05,2022-10-19,310423,585.79
RFL-00116,TRK-08,2022-10-19,253524,595.46
RFL-00117,TRK-01,2022-10-21,405278,514.54
RFL-00118,TRK-02,2022-10-21,382145,671.96
RFL-00119,TRK-11,2022-10-21,175619,630.38
RFL-00120,TRK-03,2022-10-22,356334,521.28
RFL-00121,TRK-05,2022-10-22,312207,570.65
RFL-00122,TRK-02,2022-10-23,383797,563.87
RFL-00123,TRK-04,2022-10-24,328316,575.96
RFL-00124,TRK-08,2022-10-25,255078,728.68
RFL-00125,TRK-09,2022-10-26,234905,706.34
RFL-00126,TRK-11,2022-10-26,177636,725.43
RFL-00127,TRK-06,2022-10-27,285679,573.16
RFL-00128,TRK-06,2022-10-28,287632,655.48
RFL-00129,TRK-04,2022-10-29,329802,706.54
RFL-00130,TRK-10,2022-10-29,193840,578.23
RFL-00131,TRK-05,2022-10-30,314171,598.69
RFL-00132,TRK-07,2022-11-02,269837,627.36
RFL-00133,TRK-04,2022-11-03,332103,597.79
RFL-00134,TRK-10,2022-11-03,195659,578.41
RFL-00135,TRK-11,2022-11-03,179576,670.37
RFL-00136,TRK-01,2022-11-04,407326,657.10
RFL-00137,TRK-09,2022-11-04,236793,798.95
RFL-00138,TRK-02,2022-11-06,385404,584.42
RFL-00139,TRK-03,2022-11-06,358174,579.24
RFL-00140,TRK-04,2022-11-06,333927,589.15
RFL-00141,TRK-12,2022-11-06,155889,677.26
RFL-00142,TRK-05,2022-11-07,315808,541.75
RFL-00143,TRK-06,2022-11-07,289365,631.73
RFL-00144,TRK-08,2022-11-07,257122,643.87
RFL-00145,TRK-11,2022-11-08,181450,612.13
RFL-00146,TRK-02,2022-11-10,387357,607.13
RFL-00147,TRK-04,2022-11-10,335576,725.35
RFL-00148,TRK-09,2022-11-11,238871,667.09
RFL-00149,TRK-10,2022-11-11,197368,529.63
RFL-00150,TRK-05,2022-11-12,317193,590.93
RFL-00151,TRK-08,2022-11-12,258476,614.49
RFL-00152,TRK-02,2022-11-13,388744,559.25
RFL-00153,TRK-09,2022-11-13,240101,629.22
RFL-00154,TRK-05,2022-11-14,318531,764.94
RFL-00155,TRK-04,2022-11-15,337328,635.36
