trip_id,odometer_after_trip,recorded_at
TRP-00001,305372,2022-07-02 17:53
TRP-00002,305484,2022-07-01 15:38
TRP-00003,287312,2022-07-01 12:06
TRP-00004,287461,2022-07-01 14:20
TRP-00005,287513,2022-07-01 09:25
TRP-00006,249567,2022-07-02 14:53
TRP-00007,249679,2022-07-01 07:47
TRP-00008,204749,2022-07-01 16:27
TRP-00009,392549,2022-07-02 10:42
TRP-00010,392816,2022-07-03 19:20
TRP-00011,392934,2022-07-02 12:45
TRP-00012,338652,2022-07-02 19:24
TRP-00013,305602,2022-07-02 18:14
TRP-00014,249828,2022-07-02 06:26
TRP-00015,205221,2022-07-03 08:41
TRP-00016,205488,2022-07-03 09:45
TRP-00017,205734,2022-07-03 08:48
TRP-00018,205846,2022-07-02 18:53
TRP-00019,205898,2022-07-02 12:48
TRP-00020,206144,2022-07-03 13:54
TRP-00021,393201,2022-07-04 13:56
TRP-00022,366014,2022-07-04 11:04
TRP-00023,366260,2022-07-04 09:51
TRP-00024,339264,2022-07-05 19:33
TRP-00025,339510,2022-07-04 11:57
TRP-00026,305714,2022-07-03 08:48
TRP-00027,305826,2022-07-03 08:03
TRP-00028,287625,2022-07-03 10:47
TRP-00029,287737,2022-07-03 17:02
TRP-00030,221812,2022-07-03 12:46
TRP-00031,176514,2022-07-04 13:04
TRP-00032,305878,2022-07-04 10:22
TRP-00033,287855,2022-07-04 12:16
TRP-00034,262112,2022-07-06 11:11
TRP-00035,262224,2022-07-04 14:50
TRP-00036,249940,2022-07-04 19:40
TRP-00037,222026,2022-07-05 10:04
TRP-00038,206411,2022-07-05 06:14
TRP-00039,306145,2022-07-06 13:58
TRP-00040,306617,2022-07-06 12:40
TRP-00041,287973,2022-07-05 16:02
TRP-00042,262438,2022-07-06 19:32
TRP-00043,262490,2022-07-05 07:30
TRP-00044,262542,2022-07-05 15:50
TRP-00045,250412,2022-07-06 12:22
TRP-00046,222078,2022-07-05 08:11
TRP-00047,222196,2022-07-05 06:55
TRP-00048,222308,2022-07-05 10:47
TRP-00049,222575,2022-07-06 07:25
TRP-00050,306863,2022-07-07 19:18
TRP-00051,307130,2022-07-07 08:17
TRP-00052,262809,2022-07-07 16:09
TRP-00053,263421,2022-07-08 17:16
TRP-00054,223047,2022-07-07 15:43
TRP-00055,206463,2022-07-06 06:23
TRP-00056,206709,2022-07-07 07:17
TRP-00057,206955,2022-07-07 18:45
TRP-00058,223519,2022-07-08 18:00
TRP-00059,393253,2022-07-08 08:40
TRP-00060,393402,2022-07-08 06:58
TRP-00061,366409,2022-07-08 07:15
TRP-00062,339562,2022-07-08 17:55
TRP-00063,307397,2022-07-09 08:13
TRP-00064,223631,2022-07-08 18:54
TRP-00065,223845,2022-07-09 08:13
TRP-00066,224059,2022-07-09 12:04
TRP-00067,207007,2022-07-08 17:45
TRP-00068,366676,2022-07-10 18:41
TRP-00069,366788,2022-07-09 15:59
TRP-00070,307449,2022-07-09 18:42
TRP-00071,307598,2022-07-09 10:24
TRP-00072,264033,2022-07-11 08:42
TRP-00073,224531,2022-07-10 14:25
TRP-00074,224649,2022-07-09 09:19
TRP-00075,225121,2022-07-10 06:06
TRP-00076,225388,2022-07-10 14:13
TRP-00077,207619,2022-07-11 18:20
TRP-00078,207886,2022-07-10 08:31
TRP-00079,176986,2022-07-10 16:32
TRP-00080,393514,2022-07-10 09:12
TRP-00081,366840,2022-07-10 12:37
TRP-00082,308210,2022-07-12 07:01
TRP-00083,250524,2022-07-10 19:29
TRP-00084,251136,2022-07-12 13:33
TRP-00085,225500,2022-07-10 06:33
TRP-00086,393663,2022-07-11 11:51
TRP-00087,340174,2022-07-13 17:34
TRP-00088,308456,2022-07-12 15:05
TRP-00089,288091,2022-07-11 15:54
TRP-00090,288143,2022-07-11 09:39
TRP-00091,264505,2022-07-12 11:23
TRP-00092,251188,2022-07-11 08:26
TRP-00093,251660,2022-07-12 07:45
TRP-00094,252132,2022-07-12 12:01
TRP-00095,177458,2022-07-12 14:46
TRP-00096,393715,2022-07-12 10:23
TRP-00097,340388,2022-07-13 08:37
TRP-00098,308928,2022-07-13 14:55
TRP-00099,309540,2022-07-14 09:23
TRP-00100,288255,2022-07-12 15:44
TRP-00101,252604,2022-07-13 19:34
TRP-00102,340860,2022-07-14 10:15
TRP-00103,225972,2022-07-14 08:39
TRP-00104,207998,2022-07-13 13:02
TRP-00105,366952,2022-07-14 12:47
TRP-00106,341127,2022-07-15 17:12
TRP-00107,309807,2022-07-15 14:21
TRP-00108,288367,2022-07-14 17:55
TRP-00109,288979,2022-07-16 15:13
TRP-00110,264654,2022-07-14 08:30
TRP-00111,264900,2022-07-15 19:36
TRP-00112,226444,2022-07-15 14:38
TRP-00113,227056,2022-07-16 11:11
TRP-00114,208050,2022-07-14 10:19
TRP-00115,367198,2022-07-16 15:29
TRP-00116,309956,2022-07-15 18:56
TRP-00117,310074,2022-07-15 06:39
TRP-00118,310223,2022-07-15 14:07
TRP-00119,289091,2022-07-15 07:40
TRP-00120,265146,2022-07-16 11:43
TRP-00121,265360,2022-07-17 17:14
TRP-00122,208162,2022-07-15 17:58
TRP-00123,208311,2022-07-15 14:34
TRP-00124,177930,2022-07-16 06:55
TRP-00125,178542,2022-07-17 14:59
TRP-00126,367444,2022-07-17 09:44
TRP-00127,341239,2022-07-16 17:44
TRP-00128,341351,2022-07-16 17:46
TRP-00129,310335,2022-07-16 16:52
TRP-00130,310947,2022-07-18 19:52
TRP-00131,252656,2022-07-16 19:27
TRP-00132,227302,2022-07-17 07:24
TRP-00133,208363,2022-07-16 11:11
TRP-00134,394187,2022-07-18 12:29
TRP-00135,341403,2022-07-17 16:50
TRP-00136,289305,2022-07-18 10:51
TRP-00137,289551,2022-07-18 07:32
TRP-00138,289797,2022-07-18 18:16
TRP-00139,265832,2022-07-18 18:24
TRP-00140,265981,2022-07-17 12:57
TRP-00141,252708,2022-07-17 11:33
TRP-00142,227451,2022-07-17 07:18
TRP-00143,394305,2022-07-18 19:38
TRP-00144,311096,2022-07-18 16:03
TRP-00145,290269,2022-07-19 19:57
TRP-00146,227563,2022-07-18 17:10
TRP-00147,208609,2022-07-19 06:08
TRP-00148,178756,2022-07-19 17:00
